,bankroll,hand_value,num_hits,strategy,won_hand
0,99950,12,0,basic,False
1,99900,19,0,basic,False
2,99900,17,1,basic,False
3,99900,18,0,basic,False
4,99900,18,0,basic,False
5,99950,17,0,basic,False
6,99850,12,1,basic,False
7,99800,19,1,basic,False
8,99850,19,2,basic,True
9,99750,14,1,basic,False
10,99750,18,0,basic,False
11,99700,14,0,basic,False
12,99650,17,1,basic,False
13,99750,19,0,basic,True
14,99700,18,2,basic,False
15,99750,21,2,basic,True
16,99850,17,2,basic,False
17,99900,20,1,basic,True
18,100000,19,0,basic,True
19,100100,20,0,basic,True
20,100050,13,1,basic,False
21,100000,18,0,basic,False
22,99950,14,1,basic,False
23,100000,20,1,basic,True
24,100000,19,1,basic,False
25,99950,13,2,basic,False
26,100000,19,1,basic,True
27,100000,19,1,basic,False
28,99900,20,1,basic,False
29,99950,21,1,basic,True
30,99900,18,1,basic,False
31,99850,17,0,basic,False
32,99750,19,1,basic,False
33,99600,19,1,basic,False
34,99600,12,0,basic,False
35,99600,17,2,basic,False
36,99650,16,1,basic,False
37,99650,20,0,basic,True
38,99700,20,0,basic,True
39,99700,20,0,basic,True
40,99800,21,1,basic,True
41,99850,20,0,basic,True
42,99850,21,1,basic,False
43,99750,17,1,basic,False
44,99750,17,1,basic,False
45,99750,18,1,basic,False
46,99650,12,1,basic,False
47,99650,19,0,basic,False
48,99700,19,1,basic,False
49,99700,18,1,basic,True
50,99550,18,1,basic,False
51,99600,20,0,basic,True
52,99600,21,2,basic,True
53,99700,21,1,basic,True
54,99650,16,0,basic,False
55,99600,18,0,basic,False
56,99650,18,1,basic,False
57,99550,16,0,basic,False
58,99500,16,1,basic,False
59,99400,18,1,basic,False
60,99550,21,0,basic,True
61,99600,19,0,basic,True
62,99550,18,0,basic,False
63,99700,19,1,basic,True
64,99700,21,0,basic,False
65,99600,19,0,basic,False
66,99550,19,0,basic,False
67,99450,14,1,basic,False
68,99500,21,0,basic,True
69,99450,14,0,basic,False
70,99350,20,0,basic,False
71,99300,18,2,basic,False
72,99250,19,2,basic,False
73,99200,15,0,basic,False
74,99200,20,1,basic,False
75,99300,19,0,basic,True
76,99450,21,0,basic,True
77,99350,17,2,basic,False
78,99200,16,1,basic,False
79,99200,19,0,basic,False
80,99150,18,0,basic,False
81,99250,19,0,basic,True
82,99300,20,0,basic,True
83,99350,19,1,basic,True
84,99300,18,0,basic,False
85,99350,21,0,basic,True
86,99400,17,0,basic,False
87,99400,17,1,basic,False
88,99350,17,1,basic,False
89,99300,14,0,basic,False
90,99200,18,1,basic,False
91,99200,19,0,basic,False
92,99250,20,1,basic,True
93,99200,16,0,basic,False
94,99250,20,0,basic,True
95,99150,14,1,basic,False
96,99150,20,2,basic,False
97,99050,20,0,basic,False
98,98950,17,1,basic,False
99,99050,19,0,basic,True
100,99100,18,0,basic,True
101,99100,17,0,basic,False
102,99050,16,0,basic,False
103,99000,17,2,basic,False
104,98950,14,0,basic,False
105,98950,17,0,basic,False
106,98950,19,0,basic,False
107,98900,19,0,basic,False
108,98900,20,4,basic,False
109,98850,21,1,basic,True
110,99100,20,0,basic,True
111,99100,17,1,basic,False
112,99100,19,1,basic,True
113,99000,20,0,basic,False
114,98900,19,1,basic,False
115,98850,17,0,basic,False
116,98950,20,0,basic,True
117,99000,21,1,basic,True
118,99050,19,1,basic,True
119,99150,20,0,basic,True
120,99200,21,0,basic,True
121,99200,19,1,basic,False
122,99100,19,0,basic,False
123,99250,21,0,basic,True
124,99200,13,0,basic,False
125,99300,20,1,basic,True
126,99300,18,2,basic,False
127,99300,21,1,basic,False
128,99300,18,1,basic,False
129,99250,18,2,basic,False
130,99200,17,1,basic,False
131,99100,20,1,basic,False
132,99050,18,0,basic,False
133,99000,19,1,basic,False
134,98950,14,0,basic,False
135,98900,17,0,basic,False
136,98850,16,0,basic,False
137,98800,18,1,basic,False
138,98800,18,1,basic,True
139,98900,19,1,basic,True
140,98850,17,0,basic,False
141,98850,17,1,basic,False
142,98800,20,0,basic,False
143,98750,13,0,basic,False
144,98700,19,1,basic,False
145,98600,17,1,basic,False
146,98650,19,1,basic,True
147,98700,21,1,basic,True
148,98650,18,0,basic,False
149,98700,19,0,basic,False
150,98750,20,1,basic,True
151,98700,18,0,basic,False
152,98750,20,0,basic,True
153,98700,17,1,basic,False
154,98800,20,1,basic,True
155,98900,20,0,basic,True
156,98850,14,0,basic,False
157,98800,13,0,basic,False
158,98850,20,0,basic,False
159,98950,21,1,basic,True
160,98950,17,0,basic,False
161,99050,21,0,basic,True
162,99050,18,0,basic,False
163,99100,21,1,basic,True
164,99200,18,0,basic,False
165,99350,21,1,basic,True
166,99350,18,2,basic,False
167,99300,12,0,basic,False
168,99300,14,0,basic,False
169,99250,14,1,basic,False
170,99200,16,0,basic,False
171,99250,20,1,basic,True
172,99200,12,0,basic,False
173,99100,18,0,basic,False
